nomor_baris,file_sumber,tweet,label_saat_ini,label_seharusnya,tingkat_keyakinan,alasan,status
11,negatif,"Makanya aku juga heran, kenapa tidak skip aja seh yang ini, sumpah malesin banget 🙄😒",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
12,negatif,Pyo saja liatnya kesal 😠,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
13,negatif,kalo ada yang tersinggung dari twit 10 tahun yang lalu yang keluar dari jempol bocah 14 tahun ya bego sih wgwgwg 🙄🤣,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
14,negatif,Anjaaay ngeri nyaks 😱,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
15,negatif,"Iya lah, sekarang sudah kaya jadi mulai sombong pula. Cih, benci! 😡😒",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
16,negatif,Ini paling hal benci dari sd sampe smp anjing wkwkwlwkw 😠🙄,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
17,negatif,eh ngeri bernada ancaman 😱😱😱,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
18,negatif,Kok aku kaya wartawan ya nanya dia mulu hahaha 🙄 lah dia nya mana nanya aku kan aneh ih jijik sama diri sendiri 🤢,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
19,negatif,"maksudnya diluar tuh kadang mereka ganggu diluar pintu kan suka ngetok tapi orangnya teh ga ada, kalo dalem bisa jadi dibawah kolong 😱 maneh negatif pisan 🤣",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
20,negatif,"Habis itu aku bilang gitu malah tanya tanya komitmen kek yang ada di foto ke 2 🙄. Kan katanya mau bilang langsung, ya emg dia besoknya jelasin langsung ke aku tp dg alasan yang kurang jelas 😕. Ya kecewa si cuma mau gimana lagi berarti emg dia bukan buat aku 😔💔",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
21,negatif,Bukti dan fakta klo pejabat2 INA tidak disegani oleh mereka... 🤦 miris malu tngkt international 😞,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
22,negatif,"Masih heran kenapa ada si manusia"" bentukan kaya gt 🙄, siapkan mood terbaikmu hri ini, se gak nya klo km bete tu mood mu gak langsung hbs 😒",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
23,negatif,"Mushola dirusak, sebagai seorang muslim saya marah, kecewa dan mengutuk para pelakunya 😡💔, mungkin perasaan inilah yang saudara2 kita rasakan saat Gereja mereka dirusak, kebaktian dbubarkan atau Ijin medirikan tempat ibasah ditolak 😔. Ini pelajaran berharga buat kita ya Njul .. 🙄🤔",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
24,negatif,"Ngeri bgttt 😱, akunmu nyambung ke email gak? 😨 Kalo iya biasanya keliatan yang mau masuk ke akunmuu 😰",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
25,negatif,"Suka nya banyak ketemu orang, bisa minggir dulu di tempat makan atau nongkrong di stasiun 🙄 Duka nya tua di keretaaaaaaa 😫, apalagi pas pada pulang kerja kaki gabisa napak di lantai kereta 😭. Kalo lagi dapet atau capek abis kuliah ke senggol dikit rasa nya mo marah 😡",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
26,negatif,"Kesian, penat merangkak tu 😩😞",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
27,negatif,Udah kebiasaan ABS Asal Bapak Senang 🙄😏. Jadi ya seneng kl dengar info 🙃,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
28,negatif,Kaget juga Nina lihat yang membalas ternyata dia juga 😱. Membela habis-habisan banget 🙄,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
29,negatif,"apa kamu tida malu ngehujat pake nama fandom laen? 😠 uda la kalo gabut mah gabut aja gosah ngajak tubir orang, 🙄 eh lupa deng kan situ sampah ya sampah kan tugasnya bikin risih orang 💩 ups bcnd syg 🙃",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
30,negatif,Anjir panas dingin yang debut siapaaa yang gugup siapaaa 😱😰,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
31,negatif,take note pls. jgn bg rakyat murka ye 😠😡,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
32,negatif,"Saya gak kebayang dia sekarang pasti gak tentram 😟, karena komandan diperlakukan seperti yang dulunya jadi prajuritnya pasti tersinggung dan sakit sahit 💔",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
33,negatif,"muka nya murka, badmood melihat orang orang yang masuk neraka 😡🔥💀",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
34,negatif,"Tweeter produk kafir, tweeter-an di pakai umat nabi, boleh... 🙄 Tahlil, yasin, di amalkan umat nabi menjadi tahlilan, yasinan... 😑 Terhadap hal yang nabi jijik sj beliau berhati dalam menghukumi, apa lagi hal yang nyata hikmah kebaikannya... 🤔",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
35,negatif,"Jangan cala colo aja napa koh, kecewa aku 😞. Akwoakwoakwoakwoakwok 🤣",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
36,negatif,"Semoga dapat pembalasan yang setimpal, dan allah murka dengan manusia2 seperti itu 😠😡😤",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
37,negatif,Ternyata lebih sengsara kangen sama temen 😩💔,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
38,negatif,Heran aku kenapa dari kemaren dimintain duwit terus 🙄😒,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
39,negatif,"Anjir benci banget sm cowo yang ngroko smbl berak Di tmpt kerja, 😠 kamar mandi cuma 1 udh gitu gada ventilasi, 😤 temen aku tiap ke kamar mandi berak pasti ngrokok, 😒 pas keluar gila itu kamar mandi udh kaya habis kebakaran, 😱 asepnya lebat bgt, 😫 heran ko ga mati ya 15 menit disitu 💀",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
40,negatif,Karna udh muak bukan muak karna dia bngunin solat subuh muak sama orngnya hhe 🙄😒,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
41,negatif,manusia modelan begini tuh masalahnya apa si caper mlu heran 🙄😒,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
42,negatif,bnyk gasukanya heran 🙄🤔,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
43,negatif,"benci ih aneh bgt BGTBGTBGT ANEH HUH 🙄, nikmat tuhan mana yang kamu dustakan? bener2 deh 🙃",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
44,negatif,Diiyain lagi murka banget 😠😡,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
45,negatif,Bae-bae ye jangan keseringan jadi ngeri 😱😰,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
46,negatif,"Udah kaya begal maen todong, ngeri!! 😱😱",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
47,negatif,Kan bila fikir pun dah penat 😫. Apa tah lagi nak lalui lagi 😞,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
48,negatif,"sakit banget saat cowok yang bikin lo bahagia kemaren, ternyata yang bikin lo nangis hari ini 💔😭",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
49,negatif,Dia nyindir jg diacara lain wkwkw 🙄 intinya sih gue yakin dia kecewa bgt (YAIYALAH) 🤣 soalnya mbaknya tuh emg fans kyuhyun dr lamaaa bgt dr zaman dia ceking kerontang wkwk eh ditinggal wamil oleng dong: 😭,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
50,negatif,"emang udah benci jokowi dari sana nya 😠, ya susah ngomong sama kadrun 🙄",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
51,negatif,"Aku tersinggung mbak, pengen muleh ae rasane 😞😩",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
52,negatif,"Gue nyariin dari kmrn, kecewa 😞",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
53,negatif,"Ada ye, orang diliatin malah dikira naksir. Gue diliatin gitu malah risih masa 😒🙄",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
54,negatif,"cth paling senang lecturer la, mcm mana sei dia nak tau apa yang jadi dkt student2 dia.... 🙄 apa yang student dia buat cth dengan siapa student dia dating, apa yang student dia buat bila bukan waktu kelas... 😒 and senang2 je dorg kata seungri tau apa yang berlaku ?? wtf 😡",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
55,negatif,takut dihujat w 😱😰,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
56,negatif,"cik atuh lah ulah balalaga kitu nu jd re-seller teh, sawajarna 🙄. urg bangga make brand local, tp mun kitu2 teuing mah hoream makena ge 😒.",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
57,negatif,selalu dijudge org lain even until now so aku know gimana rasanya dijudge org2 🙄 in conclusion lemme make it short gw tidak mao menghabiskan waktu fangirling gw untuk membenci sesuatu yang bahkan mungkin bias2 gw ga benci... 😑 gw jelas tyda muda lagi udah mo menuju 40 thn -c- 🙃,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
58,negatif,Terus pas ada yang rasis tersinggung 🙄. Padahal mereka nya juga sok menjauh gitu kadang 😒. Heran 🤔,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
59,negatif,Murka sa bandungeun dibawa jigana coks 😠💣. Saminggu Gandul datang eta sunter langsung banjir..Hhaha 🤣😂,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
60,negatif,"ngeri banget itu disampingnya sungai 😱, suka was was kalau main ke sungai tiba tiba longsor mampus dah 😰",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
61,negatif,"Selamat pagi. 🙄 Gila ya kamu pagi-pagi kayak gini malah dimulai dengan ngehaluin dia jadi milik kamu, heran. 😒",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
62,negatif,Yakaaannnn cempreng2nya kedengeran huhuhu 😱 takut man dimarahin nayah hahahahahah 🤣,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
63,negatif,Angkat in tagar dong om soal pak Jokowi takut pada kaum intoleran 🙄😏,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
64,negatif,Kecewa mehong 😞💔,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
65,negatif,"Peletku dahsyat juga ya ternyata, semua cewek bisa terpesona. Jadi bangga 😏😏😏",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
66,negatif,"Wajahnya sedikit merah padam 😡. Ia menahan marahnya 😤. Entah kenapa ia tiba-tiba kesal saat mengingat cerita milik pemuda ini 😠. Namun, wajahnya mendadak gugup saat pemuda itu memperkenalkan dirinya 😳. Dengan segera ia bangkit dari duduknya dan membungkukkan tubuhnya sopan 🙇.",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
67,negatif,Yg saya heran diTV anak2 papua tdk nampak ya?? 🤔 yang sering muncul anak2 yawa sampe aceh sana... 🙄 Mgkin anak2 papua tggl jauh2... Yaaa 😒,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
68,negatif,Ini artinya Nelayan2 di Natuna bukan sj hrs mnghadapi Kapal2 illegal RRT..tapi jg berhadapan dgn Kapal2 ssama warga negara Ind. 😰 Dimanapun kapal2 besar tst beroperasi..Nelayan2 kecil yang akan sengsara seiring berkurangnya hasil ikan tangkapan. 😭💔,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
69,negatif,"Mo tidur nangis 😭, bangun nangis juga 😭. Heran deh, ga capek apa 😩",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
70,negatif,Njirr kek brita duka 😭💔,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
71,negatif,Anet ayam berkokok pagi buta ni sumpah terkejut 😱. Bunyi lain mcm sejak musim covid ni 😰,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
72,negatif,"Orang boleh bangga dengan web bagus biaya mahal 🙄, tapi poinnya, seberapa banyakkah produk kita terjual? 🤔",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
73,negatif,Berteman dengan 2 kepribadian sekaligus??? Kok bisa ajg? 😠 Heran !? 🤔 Otak tanpa akhlak !!! 😡,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
74,negatif,"Susah banget ya jadi orng terkenal, takut bet kalau someday im being famous 😨. Semua aib ku di masa lalu dibahas dan dikupas tuntas 😭. My random thoughts dipagi ini 🙄",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
75,negatif,Tertipu aku selama ni. rupanya covid 19 ni makhluk halus 😱😭,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
76,negatif,Soto ngomong Karo wong gagal move on. Ngeyel.....kegedean benci... 😠 Kayaknya kurang kopi dan kurang belajar cinta 🙄😏,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
77,negatif,Saya Heran. 🙄 Anggota DPR RI DIAM saja Rakyat Sengsara. 😩 Ntar klo Rakyat MATEK smua. 💀 Klian sapa yang GAJI? 😠,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
78,negatif,"Dorong LBP pimpin penjemputan warga RI di wuhan, ngeri ngeri sedap 😱😰",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
79,negatif,"Bibirku geter sendiri, aneh, semacam gugup 😟😰",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
80,negatif,Selang beberapa menit ada nomor baru nelpon. Aku angkat aja takutnya ada urusan penting 🤔 Awal aku angkat si penelpon langsung gugup gitu 😳,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
81,negatif,Sumpa aneh banget 🙄. Terakhir kali liat jin sampe terpesona w0w gitu 2013 jaman no more dream asli 😱,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
82,negatif,"Gotong royong aja semua rakyat, jangan nonton dagelan lagi cuma bikin muak doang! 🙄 Rakyat butuh Sembako dan kesehatan bukan DARURAT SIPIL!!! 😠😤",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
83,negatif,"Gue nonton ini berasa hidupnya ikutan sengsara juga, berat nder... 😩 Tapi gue kelarin sampe akhir 👏",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
84,negatif,Tergantung mood si klo kata aku aku kadang risih cowo yang bls cepet2 tp giliran dia ngilang trs lama bls aku suka kesel jg knp yyyh aku 😒🤔,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
85,negatif,Untill tomorrow itu artinya (sampe besok) aku ngeri banget yang ikutan umurnya ampe besok karena omongan adalah doa... 😱😰💀,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
86,negatif,"gmn mau cari topik noon, saya gugup duluan 😰 😓",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
87,negatif,See bic . Boleh punye untuk tidak semput dan kecewa 🙄😒,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
88,negatif,terkejut aku. 😱 Babi betul lah 🐽,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
89,negatif,Gajian kudu nunggu tanggal 1 bae heran guamah dah 🙄😒,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
90,negatif,Wkwkwk twt murka dgn kao mungkin wkwkwk 🤣🙄,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
91,negatif,"Nggak usah berharap, karena akan buat kecewa, memang begitulah keadaan negeri kita saat ini 😞💔",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
92,negatif,"Smoker ""Jangan tertipu oleh penampilan luar saja. 🙄😏""",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
93,negatif,Di DM yah... tapi kamu jangan jijik ya 🤢 Biasa aja ekspresi ny 😐,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
94,negatif,Muka Pete wentz macam muka hantu 👻 Saya benci Pete 😡,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
95,negatif,pernah dipeluk tapi kok malah risih 😒,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
96,negatif,"Ada seorang senior engineer Twitter bernama John, yang mudah tersinggung 🙄 Namun Herman asyik maki John, kantoi lettew 🤣",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
97,negatif,PACAR SAYA BANYAK. CEWEK SEMUA! PUAS? 🙄😏,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
98,negatif,"tah la sab, macam macam dugaan, penat 😩😞",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
99,negatif,"Yang bikin kesal, tak kira abis bimbingan dibuka, ternyata tidak 😠😤",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
100,negatif,Kudune tuhan e yo mbok benci jg 🙄😒,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
101,negatif,ngapain pake muak suami aku maksutnya 🙄😒,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
102,negatif,"2 akun demen caper wkwk 🙄 Gak usah terlalu percaya, takutnya malah bikin kecewa 😞, fokus nabung aja toh kalo emang beneran bighit juga ngasih info kok 😌",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
103,negatif,makanya.. akupun heran. mimpi makan bareng doooongg 🙄😋,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
104,negatif,Penat badan tk hilang lg 😩,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
105,negatif,"lisa ni pas jadi mentor terus ngoreksi trainees serem amat bangsat 😱, aku ngeri 😰. mukanya datar 😑, gatau salah apa ngga 🤔.",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
106,negatif,"Udh bermasalah kok masih bangga, dasar tidak punya malu.... 🙄😒",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
107,negatif,tapii aku tidakk islammphobia kaya org openminded lainnyaaa (mrsa bangga) 🙄😏🙃,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
108,negatif,Kalo sengsara gegara ga bisa nyolong jgn curhat Mulu ... Ngenes 🙄🤣,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
109,negatif,"udh kali mba. org dibilang jg tweet iseng jaman kecil, masih diseriusin aja 🙄 chill dikit napa deh heran 😒",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
110,negatif,Penat woiiiiiii hidupppppp camnii 😫😩,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
111,negatif,Semuanya duka ga ada suka 😭😞,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
112,negatif,"Seriusan ini mah ga usah drama 🙄, heran masih ada aja org yang ga suka sama heenim tuh knp gt 🤔",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
113,negatif,"Oke stop bahas soal cinta2an, muak aing 😑. Back to reality. Temen aku dulu juga ada yang pernah nyinyirin pekerjaan ojol 🙄. ""ganteng ganteng ntar eh taunya jadi ojol doang HAHAHAH 😒"" ""bapak bapak ojolnya tadi rese banget dah anjir, aku kasih bintang 1 aja 👎""",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
114,negatif,pagi lagi dah menitik air mata tengok hi bye mama ni weh 😭. kisah hantu dia semua sedih 😢,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
115,negatif,makan hati la penat baru habis shift 11 tadi 😩 nasib manager aku bagi balik awal.. 😌 fuh kecut jari lemah lutut aku sejam cuci pinggan kotoq 🤢,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
116,negatif,BARU BANGET MINGGU KEMARIN !!! 😱 Adek gw minta beliin LKS kimia di Gramedia butuh besok baru bilang jam 20.40. Gimana gw kaga murka apa dikira nyarinya gampang 😤. Eh pas sampe gramed bukannya nanya ama karyawannya malah bengong !!! 🙄 Rasanya pengen tak pukulin di gramed 😡,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
117,negatif,"Nah ini, kgak pernah ditembak cowo kali ya makanya nggak tau klo dating itu pasti sama2 mau. Tak da otak, kesal 🙄😡",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
118,negatif,MALU MALU IN BANGET HIDUP LO JIR 🙄😒,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
119,negatif,but the first video terkejut sia no pls bye 😱😭,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
120,negatif,Emg ya manusia terlalu banyak expect giliran ga kesampean kecewa minta ampun 😞😩,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
121,negatif,Gue pernah ngomong begini dan satu mobil berisi tante-tante langsung murka 😱😡,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
122,negatif,Kemaren selasa aja gw kebandara Soetta.. anakqu sama aq bilang lah ko cina melulu.. 😠 Ngeri juga dari Cina bawa virus.. 😱 Itu tgl 28 loh.. Seharusnya skarang distop lah dilarang jangan ke Indonesia 😤,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
123,negatif,"So abg apologize sgt kalau abg kurang berinteraksi 😔. Jarang ada DM that can truly capture my interest 🙄. Bukan poyo or sombong, abg dah tua dik, penat nak layan satu-satu 😫. Ditambah pula dgn sejarah abg yang selalu kena tipu dgn harapan palsu, abg mmg ada reserved sikit 💔.",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
124,negatif,"Kelakuan org sok tau 🙄. Pdhal front liners lg kekurangan APD 😔. Ini hanya demi belanja doang di supermarket, pake APD lengkap 🤡. Sedih skl 😢.",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
125,negatif,"ngejawabin pertanyaan2 seputar hal yang aku duka dan aku tau bikin aku seneng karna merasa berguna 😊. soalnya di mata mama aing, aing ga guna karna katanya gabisa apapa 😔💔.",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
