nomor_baris,file_sumber,tweet,label_saat_ini,label_seharusnya,tingkat_keyakinan,alasan,status
34,negatif,"Tweeter produk kafir, tweeter-an di pakai umat nabi, boleh...  <Wajah Memutar Mata>  Tahlil, yasin, di amalkan umat nabi menjadi tahlilan, yasinan...  <Wajah Tanpa Ekspresi>  Terhadap hal yang nabi jijik sj beliau berhati dalam menghukumi, apa lagi hal yang nyata hikmah kebaikannya...  <Wajah Berpikir> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
35,negatif,"Jangan cala colo aja napa koh, kecewa aku  <Wajah Kecewa> . Akwoakwoakwoakwoakwok  <Tertawa Terpingkal-Pingkal> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
36,negatif,"Semoga dapat pembalasan yang setimpal, dan allah murka dengan manusia2 seperti itu  <Wajah Marah>  <Wajah Bersungut Marah>  <Wajah Mengeluarkan Uap Dari Hidung> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
37,negatif,Ternyata lebih sengsara kangen sama temen  <Wajah Lelah Lesu>  <Hati Patah> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
38,negatif,Heran aku kenapa dari kemaren dimintain duwit terus  <Wajah Memutar Mata>  <Wajah Tidak Terhibur> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
40,negatif,Karna udh muak bukan muak karna dia bngunin solat subuh muak sama orngnya hhe  <Wajah Memutar Mata>  <Wajah Tidak Terhibur> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
41,negatif,manusia modelan begini tuh masalahnya apa si caper mlu heran  <Wajah Memutar Mata>  <Wajah Tidak Terhibur> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
42,negatif,bnyk gasukanya heran  <Wajah Memutar Mata>  <Wajah Berpikir> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
43,negatif,"benci ih aneh bgt BGTBGTBGT ANEH HUH  <Wajah Memutar Mata> , nikmat tuhan mana yang kamu dustakan? bener2 deh  <Wajah Terbalik> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
44,negatif,Diiyain lagi murka banget  <Wajah Marah>  <Wajah Bersungut Marah> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
45,negatif,Bae-bae ye jangan keseringan jadi ngeri  <Wajah Berteriak Ketakutan>  <Wajah Mulut Terbuka Dan Keringat Dingin> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
46,negatif,"Udah kaya begal maen todong, ngeri!!  <Wajah Berteriak Ketakutan>  <Wajah Berteriak Ketakutan> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
48,negatif,"sakit banget saat cowok yang bikin lo bahagia kemaren, ternyata yang bikin lo nangis hari ini  <Hati Patah>  <Wajah Menangis Kencang> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
49,negatif,Dia nyindir jg diacara lain wkwkw  <Wajah Memutar Mata>  intinya sih gue yakin dia kecewa bgt (YAIYALAH)  <Tertawa Terpingkal-Pingkal>  soalnya mbaknya tuh emg fans kyuhyun dr lamaaa bgt dr zaman dia ceking kerontang wkwk eh ditinggal wamil oleng dong:  <Wajah Menangis Kencang> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
50,negatif,"emang udah benci jokowi dari sana nya  <Wajah Marah> , ya susah ngomong sama kadrun  <Wajah Memutar Mata> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
51,negatif,"Aku tersinggung mbak, pengen muleh ae rasane  <Wajah Kecewa>  <Wajah Lelah Lesu> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
52,negatif,"Gue nyariin dari kmrn, kecewa  <Wajah Kecewa> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
53,negatif,"Ada ye, orang diliatin malah dikira naksir. Gue diliatin gitu malah risih masa  <Wajah Tidak Terhibur>  <Wajah Memutar Mata> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
55,negatif,takut dihujat w  <Wajah Berteriak Ketakutan>  <Wajah Mulut Terbuka Dan Keringat Dingin> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
58,negatif,Terus pas ada yang rasis tersinggung  <Wajah Memutar Mata> . Padahal mereka nya juga sok menjauh gitu kadang  <Wajah Tidak Terhibur> . Heran  <Wajah Berpikir> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
59,negatif,Murka sa bandungeun dibawa jigana coks  <Wajah Marah>  <Bom> . Saminggu Gandul datang eta sunter langsung banjir..Hhaha  <Tertawa Terpingkal-Pingkal>  <Wajah Menangis Gembira> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
62,negatif,Yakaaannnn cempreng2nya kedengeran huhuhu  <Wajah Berteriak Ketakutan>  takut man dimarahin nayah hahahahahah  <Tertawa Terpingkal-Pingkal> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
64,negatif,Kecewa mehong  <Wajah Kecewa>  <Hati Patah> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
65,negatif,"Peletku dahsyat juga ya ternyata, semua cewek bisa terpesona. Jadi bangga  <Wajah Tersenyum Sinis>  <Wajah Tersenyum Sinis>  <Wajah Tersenyum Sinis> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
66,negatif,"Wajahnya sedikit merah padam  <Wajah Bersungut Marah> . Ia menahan marahnya  <Wajah Mengeluarkan Uap Dari Hidung> . Entah kenapa ia tiba-tiba kesal saat mengingat cerita milik pemuda ini  <Wajah Marah> . Namun, wajahnya mendadak gugup saat pemuda itu memperkenalkan dirinya  <Wajah Memerah Tersipu> . Dengan segera ia bangkit dari duduknya dan membungkukkan tubuhnya sopan  <Orang Membungkuk> .",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
67,negatif,Yg saya heran diTV anak2 papua tdk nampak ya??  <Wajah Berpikir>  yang sering muncul anak2 yawa sampe aceh sana...  <Wajah Memutar Mata>  Mgkin anak2 papua tggl jauh2... Yaaa  <Wajah Tidak Terhibur> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
68,negatif,Ini artinya Nelayan2 di Natuna bukan sj hrs mnghadapi Kapal2 illegal RRT..tapi jg berhadapan dgn Kapal2 ssama warga negara Ind.  <Wajah Mulut Terbuka Dan Keringat Dingin>  Dimanapun kapal2 besar tst beroperasi..Nelayan2 kecil yang akan sengsara seiring berkurangnya hasil ikan tangkapan.  <Wajah Menangis Kencang>  <Hati Patah> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
69,negatif,"Mo tidur nangis  <Wajah Menangis Kencang> , bangun nangis juga  <Wajah Menangis Kencang> . Heran deh, ga capek apa  <Wajah Lelah Lesu> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
70,negatif,Njirr kek brita duka  <Wajah Menangis Kencang>  <Hati Patah> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
72,negatif,"Orang boleh bangga dengan web bagus biaya mahal  <Wajah Memutar Mata> , tapi poinnya, seberapa banyakkah produk kita terjual?  <Wajah Berpikir> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
73,negatif,Berteman dengan 2 kepribadian sekaligus??? Kok bisa ajg?  <Wajah Marah>  Heran !?  <Wajah Berpikir>  Otak tanpa akhlak !!!  <Wajah Bersungut Marah> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
77,negatif,Saya Heran.  <Wajah Memutar Mata>  Anggota DPR RI DIAM saja Rakyat Sengsara.  <Wajah Lelah Lesu>  Ntar klo Rakyat MATEK smua.  <Tengkorak>  Klian sapa yang GAJI?  <Wajah Marah> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
78,negatif,"Dorong LBP pimpin penjemputan warga RI di wuhan, ngeri ngeri sedap  <Wajah Berteriak Ketakutan>  <Wajah Mulut Terbuka Dan Keringat Dingin> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
79,negatif,"Bibirku geter sendiri, aneh, semacam gugup  <Wajah Cemas>  <Wajah Mulut Terbuka Dan Keringat Dingin> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
80,negatif,Selang beberapa menit ada nomor baru nelpon. Aku angkat aja takutnya ada urusan penting  <Wajah Berpikir>  Awal aku angkat si penelpon langsung gugup gitu  <Wajah Memerah Tersipu> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
82,negatif,"Gotong royong aja semua rakyat, jangan nonton dagelan lagi cuma bikin muak doang!  <Wajah Memutar Mata>  Rakyat butuh Sembako dan kesehatan bukan DARURAT SIPIL!!!  <Wajah Marah>  <Wajah Mengeluarkan Uap Dari Hidung> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
83,negatif,"Gue nonton ini berasa hidupnya ikutan sengsara juga, berat nder...  <Wajah Lelah Lesu>  Tapi gue kelarin sampe akhir  <Tepuk Tangan> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
84,negatif,Tergantung mood si klo kata aku aku kadang risih cowo yang bls cepet2 tp giliran dia ngilang trs lama bls aku suka kesel jg knp yyyh aku  <Wajah Tidak Terhibur>  <Wajah Berpikir> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
85,negatif,Untill tomorrow itu artinya (sampe besok) aku ngeri banget yang ikutan umurnya ampe besok karena omongan adalah doa...  <Wajah Berteriak Ketakutan>  <Wajah Mulut Terbuka Dan Keringat Dingin>  <Tengkorak> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
86,negatif,"gmn mau cari topik noon, saya gugup duluan  <Wajah Mulut Terbuka Dan Keringat Dingin>   <Wajah Dengan Keringat Dingin> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
87,negatif,See bic . Boleh punye untuk tidak semput dan kecewa  <Wajah Memutar Mata>  <Wajah Tidak Terhibur> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
88,negatif,terkejut aku.  <Wajah Berteriak Ketakutan>  Babi betul lah  <Hidung Babi> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
89,negatif,Gajian kudu nunggu tanggal 1 bae heran guamah dah  <Wajah Memutar Mata>  <Wajah Tidak Terhibur> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
90,negatif,Wkwkwk twt murka dgn kao mungkin wkwkwk  <Tertawa Terpingkal-Pingkal>  <Wajah Memutar Mata> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
91,negatif,"Nggak usah berharap, karena akan buat kecewa, memang begitulah keadaan negeri kita saat ini  <Wajah Kecewa>  <Hati Patah> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
92,negatif,"Smoker ""Jangan tertipu oleh penampilan luar saja.  <Wajah Memutar Mata>  <Wajah Tersenyum Sinis> """,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
93,negatif,Di DM yah... tapi kamu jangan jijik ya  <Wajah Mual>  Biasa aja ekspresi ny  <Wajah Netral> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
95,negatif,pernah dipeluk tapi kok malah risih  <Wajah Tidak Terhibur> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
96,negatif,"Ada seorang senior engineer Twitter bernama John, yang mudah tersinggung  <Wajah Memutar Mata>  Namun Herman asyik maki John, kantoi lettew  <Tertawa Terpingkal-Pingkal> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
97,negatif,PACAR SAYA BANYAK. CEWEK SEMUA! PUAS?  <Wajah Memutar Mata>  <Wajah Tersenyum Sinis> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
100,negatif,Kudune tuhan e yo mbok benci jg  <Wajah Memutar Mata>  <Wajah Tidak Terhibur> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
101,negatif,ngapain pake muak suami aku maksutnya  <Wajah Memutar Mata>  <Wajah Tidak Terhibur> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
102,negatif,"2 akun demen caper wkwk  <Wajah Memutar Mata>  Gak usah terlalu percaya, takutnya malah bikin kecewa  <Wajah Kecewa> , fokus nabung aja toh kalo emang beneran bighit juga ngasih info kok  <Wajah Lega> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
103,negatif,makanya.. akupun heran. mimpi makan bareng doooongg  <Wajah Memutar Mata>  <Wajah Menikmati Makanan Lezat> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
104,negatif,Penat badan tk hilang lg  <Wajah Lelah Lesu> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
106,negatif,"Udh bermasalah kok masih bangga, dasar tidak punya malu....  <Wajah Memutar Mata>  <Wajah Tidak Terhibur> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
107,negatif,tapii aku tidakk islammphobia kaya org openminded lainnyaaa (mrsa bangga)  <Wajah Memutar Mata>  <Wajah Tersenyum Sinis>  <Wajah Terbalik> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
108,negatif,Kalo sengsara gegara ga bisa nyolong jgn curhat Mulu ... Ngenes  <Wajah Memutar Mata>  <Tertawa Terpingkal-Pingkal> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
109,negatif,"udh kali mba. org dibilang jg tweet iseng jaman kecil, masih diseriusin aja  <Wajah Memutar Mata>  chill dikit napa deh heran  <Wajah Tidak Terhibur> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
110,negatif,Penat woiiiiiii hidupppppp camnii  <Wajah Sangat Lelah>  <Wajah Lelah Lesu> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
111,negatif,Semuanya duka ga ada suka  <Wajah Menangis Kencang>  <Wajah Kecewa> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
112,negatif,"Seriusan ini mah ga usah drama  <Wajah Memutar Mata> , heran masih ada aja org yang ga suka sama heenim tuh knp gt  <Wajah Berpikir> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
115,negatif,makan hati la penat baru habis shift 11 tadi  <Wajah Lelah Lesu>  nasib manager aku bagi balik awal..  <Wajah Lega>  fuh kecut jari lemah lutut aku sejam cuci pinggan kotoq  <Wajah Mual> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
120,negatif,Emg ya manusia terlalu banyak expect giliran ga kesampean kecewa minta ampun  <Wajah Kecewa>  <Wajah Lelah Lesu> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
121,negatif,Gue pernah ngomong begini dan satu mobil berisi tante-tante langsung murka  <Wajah Berteriak Ketakutan>  <Wajah Bersungut Marah> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
124,negatif,"Kelakuan org sok tau  <Wajah Memutar Mata> . Pdhal front liners lg kekurangan APD  <Wajah Termenung Sedih> . Ini hanya demi belanja doang di supermarket, pake APD lengkap  <Wajah Badut> . Sedih skl  <Wajah Menangis> .",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
125,negatif,"ngejawabin pertanyaan2 seputar hal yang aku duka dan aku tau bikin aku seneng karna merasa berguna  <Wajah Tersenyum Dengan Mata Tersenyum> . soalnya di mata mama aing, aing ga guna karna katanya gabisa apapa  <Wajah Termenung Sedih>  <Hati Patah> .",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
126,negatif,"Bang ko ganteng2 rokoknya filter si,ayoo laa ganti rokoknyaa janga bikin malu kalee  <Wajah Memutar Mata>  <Wajah Tidak Terhibur> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
127,negatif,semua orang murka  <Wajah Bersungut Marah> . azab buat tukang selingkuh sama selingkuhan  <Tengkorak> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
128,negatif,Gawe gugup secuil sih  <Wajah Mulut Terbuka Dan Keringat Dingin> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
129,negatif,Pergi sm aku ga di giniin kecewa!  <Wajah Kecewa>  <Hati Patah> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
130,negatif,Aku kecewa aisah ga pulang pulangang  <Wajah Kecewa>  <Wajah Termenung Sedih> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
131,negatif,Saya rasa sekarang lebih tepat nya jangan sebar isu isu yang tdk penting  <Wajah Tanpa Ekspresi> . (Sedikit kecewa dgn media sekarang. Karena uang jauh lebih hijau ketimbang berita yang akurat  <Wajah Mata Duitan> ) Jauhi virusnya bukan orangnya. Cari solusinya bukan menyalahkan. Ikuti saran ahli untuk atasi penyebaran  <Tangan Merapat Berdoa> .,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
132,negatif,kalau banyak pengunjung dan sering datang di sungai ini orang2 ini yang membawa truk suka takut kalau banyak orang yang datang biasanya langusung pergi  <Wajah Memutar Mata>  <Wajah Berpikir> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
133,negatif,Takut gak punya duit  <Wajah Berteriak Ketakutan>  <Wajah Mulut Terbuka Dan Keringat Dingin> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
135,negatif,Terkejut petir lagi lepas tu suara kakaknya lagi  <Wajah Berteriak Ketakutan>  <Tegangan Tinggi> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
136,negatif,MAKHLUKASTRALDARIMANAIIHSEREM JIJIK BEUT  <Wajah Berteriak Ketakutan>  <Wajah Mual> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
137,negatif,Ebusehhh ngeri mbak  <Wajah Berteriak Ketakutan> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
